Node	Query_1	Query_2	Query_3
ANKRD1	True	True	True
AREG	True	True	True
CCNL1	True	NA	NA
CITED2	True	True	NA
CRY2	True	NA	NA
CXCL2	True	True	True
CYR61	True	NA	NA
DUSP1	True	True	True
DUSP5	True	True	True
DUSP6	True	True	True
EDN1	True	True	True
EGR1	True	True	True
EGR2	True	True	True
EGR3	True	True	True
EGR4	True	True	True
ENC1	True	True	True
FOS	True	True	True
FOSB	True	True	True
GDF15	True	True	True
HELZ2	True	NA	NA
HES1	True	True	True
ID1	True	True	True
ID2	True	True	True
IER2	True	NA	True
JUNB	True	True	True
KLF10	True	True	True
KLF5	True	True	True
MAFF	True	True	True
MRPL1	True	NA	NA
MYC	True	True	True
NFE2L2	True	True	True
NR4A1	True	True	True
NR4A2	True	True	True
RAB5A	True	NA	NA
SPRY1	True	True	True
SPRY2	True	True	True
TRIM62	True	NA	NA
NFKBIZ	True	True	NA
RND3	True	True	NA
PPP1R15A	True	True	NA
SPRY4	True	True	True
PHLDA1	True	True	True
NR4A3	True	True	True
RIPK4	True	NA	NA
KLHL25	True	NA	NA
PLK2	True	NA	NA
PGS1	True	NA	NA
TXNIP	True	True	True
OLA1	True	NA	NA
SAT1	True	True	True
VMP1	True	True	True
TRIM66	True	NA	NA
ABCA3	NA	True	NA
ACACB	NA	True	NA
ADCY1	NA	True	NA
ADM	NA	True	True
AFAP1	NA	True	NA
AHR	NA	True	True
AK6	NA	True	NA
AMOTL1	NA	True	NA
ARRDC2	NA	True	NA
BAMBI	NA	True	NA
BCL9	NA	True	NA
BHLHE40	NA	True	True
BLOC1S4	NA	True	NA
BMP2	NA	True	True
BMP4	NA	True	NA
BRD3	NA	True	NA
BTG2	NA	True	True
C1QBP	NA	True	NA
CAD	NA	True	NA
CASP2	NA	True	NA
CBX4	NA	True	NA
CCDC51	NA	True	NA
CCL2	NA	True	True
CCND1	NA	True	True
CCRN4L	NA	True	True
CDKN1B	NA	True	True
CEBPD	NA	True	NA
CHD3	NA	True	NA
CLDN2	NA	True	True
CLDN23	NA	True	NA
COPRS	NA	True	NA
COPS4	NA	True	NA
CREM	NA	True	NA
CSRNP1	NA	True	True
CTNND1	NA	True	NA
CXCL3	NA	True	True
DDIT4	NA	True	True
DDX59	NA	True	NA
DOCK6	NA	True	NA
DOK7	NA	True	NA
DPF2	NA	True	NA
DUSP2	NA	True	True
DUSP4	NA	True	True
ECE1	NA	True	NA
EEF1B2	NA	True	NA
EIF5A2	NA	True	True
ELF3	NA	True	NA
ELFN2	NA	True	NA
EPHA2	NA	True	True
EREG	NA	True	True
ERRFI1	NA	True	NA
ESRRA	NA	True	NA
ETS2	NA	True	True
EZH1	NA	True	NA
FAM117B	NA	True	NA
FAM32A	NA	True	NA
FBL	NA	True	NA
FGA	NA	True	True
FGB	NA	True	True
FLNA	NA	True	NA
FLNC	NA	True	NA
FOSL1	NA	True	True
FOXA3	NA	True	True
FOXC1	NA	True	True
FOXJ2	NA	True	NA
FOXQ1	NA	True	True
FUT4	NA	True	True
GADD45B	NA	True	True
GATAD2B	NA	True	NA
GNAI1	NA	True	True
GPR3	NA	True	True
HBEGF	NA	True	True
HEBP2	NA	True	NA
HES4	NA	True	NA
HGNC:9982	NA	True	NA
HMOX1	NA	True	NA
HOXB3	NA	True	NA
HOXB8	NA	True	True
HOXB9	NA	True	True
HSD17B2	NA	True	True
HSD3B1	NA	True	True
HTT	NA	True	NA
HUNK	NA	True	NA
ID3	NA	True	NA
IDI1	NA	True	NA
IER3	NA	True	True
IER5	NA	True	NA
IGF1R	NA	True	NA
IL11	NA	True	True
INPP5B	NA	True	NA
IRAK2	NA	True	NA
ISX	NA	True	NA
ITPR3	NA	True	NA
JAG1	NA	True	True
JUN	NA	True	NA
JUND	NA	True	NA
KLF4	NA	True	NA
KMT2B	NA	True	NA
KRT15	NA	True	NA
LIF	NA	True	True
LIMK1	NA	True	NA
MACROD1	NA	True	NA
MAP1S	NA	True	NA
MAP3K8	NA	True	True
MB21D1	NA	True	True
MEOX1	NA	True	True
MTMR3	NA	True	NA
MUC13	NA	True	True
MYLIP	NA	True	True
MYO9B	NA	True	NA
NFIA	NA	True	NA
NFIC	NA	True	NA
NFKBIA	NA	True	NA
NOTCH1	NA	True	NA
NOTCH2	NA	True	NA
PCK1	NA	True	NA
PFDN1	NA	True	NA
PHACTR4	NA	True	NA
PHF12	NA	True	NA
PIM3	NA	True	True
PLK3	NA	True	True
PMEPA1	NA	True	True
POLH	NA	True	NA
PPP1R3B	NA	True	True
PRPF8	NA	True	NA
PTCH1	NA	True	NA
PXDC1	NA	True	True
RASD1	NA	True	True
RBM15	NA	True	NA
RCOR3	NA	True	NA
REG4	NA	True	True
RGS2	NA	True	True
RHOB	NA	True	True
RHOF	NA	True	True
RPL17	NA	True	NA
RPL31	NA	True	NA
RPL7	NA	True	NA
RPL9	NA	True	NA
RPS3A	NA	True	NA
RPS6	NA	True	NA
RPS7	NA	True	NA
RPS8	NA	True	NA
SEPN1	NA	True	NA
SERTAD1	NA	True	NA
SETD5	NA	True	NA
SIK1B	NA	True	NA
SKIL	NA	True	True
SLC25A25	NA	True	True
SMARCA4	NA	True	NA
SOX2	NA	True	NA
SOX9	NA	True	True
SSH1	NA	True	NA
TNFSF15	NA	True	NA
TP53RK	NA	True	NA
ZKSCAN3	NA	True	NA
ABCC1	NA	True	NA
SCARB1	NA	True	NA
PDE4D	NA	True	True
LGALS3	NA	True	True
TM4SF1	NA	True	True
CFAP20	NA	True	NA
TIPARP	NA	True	NA
SEMA4D	NA	True	NA
TOP3A	NA	True	NA
MEF2BNB	NA	True	True
FSTL3	NA	True	True
TBX3	NA	True	True
TNFRSF11B	NA	True	True
TNKS1BP1	NA	True	NA
SOCS3	NA	True	NA
CD55	NA	True	NA
TMA7	NA	True	NA
TNFRSF12A	NA	True	NA
USP2	NA	True	NA
ZNF217	NA	True	NA
NAB2	NA	True	True
TPT1	NA	True	NA
LRP4	NA	True	NA
GEM	NA	True	True
TRIB1	NA	True	True
NAB1	NA	True	NA
SOX8	NA	True	True
SOWAHB	NA	True	NA
ZNF606	NA	True	NA
PPP1R14B	NA	True	NA
PPARGC1B	NA	True	True
FJX1	NA	True	NA
SH3PXD2B	NA	True	NA
SSH2	NA	True	NA
TRAF4	NA	True	True
USP38	NA	True	NA
NEDD9	NA	True	NA
SLC11A2	NA	True	True
ZBTB18	NA	True	NA
PI4KA	NA	True	NA
TNFSF9	NA	True	NA
TPCN1	NA	True	NA
TGIF1	NA	True	True
WDR62	NA	True	NA
ZNF142	NA	True	NA
PARD6B	NA	True	NA
TRIM32	NA	True	NA
NUP210	NA	True	NA
RIMKLB	NA	True	NA
RGCC	NA	True	True
WDR38	NA	True	NA
RHPN2	NA	True	True
ZNF331	NA	True	True
YRDC	NA	True	NA
SPATA13	NA	True	NA
VIMP	NA	True	True
TICRR	NA	True	NA
ZNF718	NA	True	NA
ZSCAN20	NA	True	NA
A2M	NA	NA	True
ADAMTS15	NA	NA	True
ADCY5	NA	NA	True
AGR2	NA	NA	True
AJUBA	NA	NA	True
AKAP7	NA	NA	True
AKR1C2	NA	NA	True
AMER3	NA	NA	True
APOL6	NA	NA	True
ARRDC3	NA	NA	True
ATF7IP	NA	NA	True
AXIN2	NA	NA	True
B4GALT5	NA	NA	True
BCL2L1	NA	NA	True
BICD1	NA	NA	True
BMF	NA	NA	True
BORA	NA	NA	True
C21orf58	NA	NA	True
CACNB2	NA	NA	True
CAPN8	NA	NA	True
CASP9	NA	NA	True
CCND3	NA	NA	True
CCNF	NA	NA	True
CDCA2	NA	NA	True
CDCA8	NA	NA	True
CDKN1A	NA	NA	True
CLCF1	NA	NA	True
CNN1	NA	NA	True
CSGALNACT1	NA	NA	True
CXCR4	NA	NA	True
DACT2	NA	NA	True
DBF4B	NA	NA	True
DCAF16	NA	NA	True
DNAJB9	NA	NA	True
DNAJC15	NA	NA	True
DTL	NA	NA	True
DUSP16	NA	NA	True
DYRK1B	NA	NA	True
DYRK3	NA	NA	True
E2F2	NA	NA	True
EME1	NA	NA	True
EMX1	NA	NA	True
EN2	NA	NA	True
EPS8L3	NA	NA	True
ETV4	NA	NA	True
ETV5	NA	NA	True
FAIM2	NA	NA	True
FGD3	NA	NA	True
FGG	NA	NA	True
FILIP1L	NA	NA	True
FMNL1	NA	NA	True
FOXO1	NA	NA	True
GCLC	NA	NA	True
GMEB1	NA	NA	True
GPR137B	NA	NA	True
GPX2	NA	NA	True
GSG2	NA	NA	True
HERPUD1	NA	NA	True
HEXIM1	NA	NA	True
HIC1	NA	NA	True
HIVEP2	NA	NA	True
HK2	NA	NA	True
HNF1A	NA	NA	True
HOXC13	NA	NA	True
HSPA1A	NA	NA	True
HSPA1B	NA	NA	True
HSPA4L	NA	NA	True
IER5L	NA	NA	True
IL12A	NA	NA	True
INHBE	NA	NA	True
IQCJ-SCHIP1	NA	NA	True
ITGB8	NA	NA	True
KDM4D	NA	NA	True
KIF3C	NA	NA	True
KLF6	NA	NA	True
KLHDC7A	NA	NA	True
LFNG	NA	NA	True
LHX6	NA	NA	True
LOH12CR1	NA	NA	True
LPCAT4	NA	NA	True
LRIG3	NA	NA	True
LRP2BP	NA	NA	True
LRP8	NA	NA	True
MAFK	NA	NA	True
MARS2	NA	NA	True
MECOM	NA	NA	True
METRNL	NA	NA	True
MXI1	NA	NA	True
MYO10	NA	NA	True
NR1D1	NA	NA	True
NR3C1	NA	NA	True
NRARP	NA	NA	True
OXTR	NA	NA	True
PAX6	NA	NA	True
PDE2A	NA	NA	True
PDP2	NA	NA	True
PER2	NA	NA	True
PFKFB3	NA	NA	True
PIWIL2	NA	NA	True
PLA2G16	NA	NA	True
PLA2G2A	NA	NA	True
PLCXD2	NA	NA	True
PLLP	NA	NA	True
PMAIP1	NA	NA	True
PPTC7	NA	NA	True
PRICKLE2	NA	NA	True
PROM2	NA	NA	True
PRR15	NA	NA	True
RASA2	NA	NA	True
RASSF2	NA	NA	True
RBM14	NA	NA	True
RFWD3	NA	NA	True
RNF145	NA	NA	True
RNF19A	NA	NA	True
RUNX1	NA	NA	True
S100P	NA	NA	True
SALL4	NA	NA	True
SCARA5	NA	NA	True
SESN1	NA	NA	True
SHH	NA	NA	True
SIAH2	NA	NA	True
SLC2A1	NA	NA	True
SMAD7	NA	NA	True
SPOCK2	NA	NA	True
SPRED1	NA	NA	True
SPRED2	NA	NA	True
SUV39H1	NA	NA	True
TAF4B	NA	NA	True
TFAP2C	NA	NA	True
TGFBR2	NA	NA	True
THBS1	NA	NA	True
TNFRSF10A	NA	NA	True
TNFRSF21	NA	NA	True
TNFRSF9	NA	NA	True
ZBTB21	NA	NA	True
ZBTB38	NA	NA	True
VCAN	NA	NA	True
LGR4	NA	NA	True
TFF1	NA	NA	True
FAM134B	NA	NA	True
ST3GAL2	NA	NA	True
RBBP8NL	NA	NA	True
KLF13	NA	NA	True
KIFC1	NA	NA	True
ZFP36	NA	NA	True
SCN1B	NA	NA	True
TNFAIP8	NA	NA	True
TCF4	NA	NA	True
MYEOV	NA	NA	True
STIL	NA	NA	True
SESN2	NA	NA	True
WNK4	NA	NA	True
PHF10	NA	NA	True
OAS1	NA	NA	True
VGF	NA	NA	True
RHOBTB2	NA	NA	True
PIF1	NA	NA	True
SP8	NA	NA	True
KLHL21	NA	NA	True
ZNF608	NA	NA	True
RHEBL1	NA	NA	True
KLF3	NA	NA	True
TET1	NA	NA	True
SMG5	NA	NA	True
RGS3	NA	NA	True
GPR157	NA	NA	True
MYO1E	NA	NA	True
OVOL1	NA	NA	True
HSPE1	NA	NA	True
ZNF101	NA	NA	True
PLB1	NA	NA	True
UFSP1	NA	NA	True
SLC20A1	NA	NA	True
SPATA2L	NA	NA	True
NOSTRIN	NA	NA	True
ZSCAN26	NA	NA	True
USP36	NA	NA	True
TRIM68	NA	NA	True
PHLDB2	NA	NA	True
PLD6	NA	NA	True
SGPP1	NA	NA	True
STARD13	NA	NA	True
PRR7	NA	NA	True
TC2N	NA	NA	True
RASSF4	NA	NA	True
ZNF426	NA	NA	True
TRIM47	NA	NA	True
SH3RF2	NA	NA	True
SNCAIP	NA	NA	True
SLC30A2	NA	NA	True
ZNF274	NA	NA	True
TAF8	NA	NA	True
TGIF2	NA	NA	True
ZIC5	NA	NA	True
